"Week","Year","precip.nomiss","ETo_mm.combined","Date","ID","PP_ET","spei"
17,1990,8.4,14.3088506246987,1990-04-23,13594,-5.90885062469874,-0.620239438030361
18,1990,0,16.4243129277653,1990-04-30,13643,-16.4243129277653,-1.25165338766086
19,1990,0.7,20.9033409668754,1990-05-07,13692,-20.2033409668754,-1.54102715949089
20,1990,3.3,17.2537946922874,1990-05-14,13741,-13.9537946922874,-1.10342242326301
21,1990,27.3,14.3252517105909,1990-05-21,13790,12.9747482894091,0.786668142003131
22,1990,7.3,16.873013882456,1990-05-28,13839,-9.57301388245595,-0.936960646037445
23,1990,0,16.2799661346749,1990-06-04,13888,-16.2799661346749,-1.41077171667969
24,1990,7.7,17.6007037410163,1990-06-11,13937,-9.90070374101625,-0.897828731763439
25,1990,6.3,19.7229814556404,1990-06-18,13986,-13.4229814556404,-1.02558259528289
26,1990,12.7,19.6770410029034,1990-06-25,14035,-6.97704100290342,-0.550885893381326
27,1990,41.6,27.635200170145,1990-07-02,14084,13.964799829855,0.967066609172614
28,1990,13.6,26.0094799705868,1990-07-09,14133,-12.4094799705868,-0.914576139863388
29,1990,30.4,23.9692884367708,1990-07-16,14182,6.43071156322925,0.338673383615318
30,1990,0.2,23.9669212432613,1990-07-23,14231,-23.7669212432613,-1.78322235439313
31,1990,11,27.8210939198455,1990-07-30,14280,-16.8210939198455,-1.30782765126235
32,1990,11.2,23.4851176210385,1990-08-06,14329,-12.2851176210385,-0.968565588675345
33,1990,17.6,21.855933509301,1990-08-13,14378,-4.25593350930097,-0.526535432397799
34,1990,25.3,23.2483731538656,1990-08-20,14427,2.05162684613441,0.0104384412108114
35,1990,1.2,20.3284180575771,1990-08-27,14476,-19.1284180575772,-1.62657136477611
36,1990,8.3,12.8133245572947,1990-09-03,14525,-4.51332455729469,-0.455149329296343
37,1990,11.7,11.4513709531693,1990-09-10,14574,0.248629046830739,0.0872826447381693
38,1990,78.4,9.80616432643495,1990-09-17,14623,68.5938356735651,2.62740157625812
39,1990,9,8.33711120870415,1990-09-24,14672,0.662888791295853,-0.0175950856946126
40,1990,19.8,2.66091828129802,1990-10-01,14721,17.139081718702,1.15983519143974
41,1990,4.1,8.7351038117248,1990-10-08,14770,-4.6351038117248,-0.520094320490557
42,1990,0.2,7.65033659451509,1990-10-15,14819,-7.45033659451509,-0.5656831318709
43,1990,0,4.18329126758568,1990-10-22,14868,-4.18329126758568,-0.378845912810627
44,1990,53.6,1.6616855747324,1990-10-29,14917,51.9383144252676,2.22487885707408
45,1990,1.8,4.88279032608043,1990-11-05,14966,-3.08279032608043,-0.431877487412788
46,1990,7.3,1.61217616555422,1990-11-12,15015,5.68782383444579,0.274188395785699
47,1990,5.9,2.94518839600138,1990-11-19,15064,2.95481160399862,0.101835860245962
48,1990,1.7,3.25382429679966,1990-11-26,15113,-1.55382429679966,-0.206775822755439
49,1990,0.1,6.9031009418843,1990-12-03,15162,-6.8031009418843,-0.482087733252659
50,1990,5,1.42033797241563,1990-12-10,15211,3.57966202758437,0.277872991465577
51,1990,11.2,0.0981814288012566,1990-12-17,15260,11.1018185711987,0.774289434155164
52,1990,30.7,0.0846149798070595,1990-12-24,15309,30.6153850201929,1.74159904632994
53,1990,0.2,0,1990-12-31,2191,0.2,0
1,1991,31.4,0.233132414766093,1991-01-01,15365,31.1668675852339,0
2,1991,3.5,2.5976391857932,1991-01-08,15414,0.9023608142068,0.000311492404656148
3,1991,1.3,3.31037659607475,1991-01-15,15463,-2.01037659607475,-0.161606312714147
4,1991,2.7,7.87409347368112,1991-01-22,15512,-5.17409347368112,-0.600448172253616
5,1991,1.8,4.87364466829524,1991-01-29,15561,-3.07364466829524,-0.391902404073057
6,1991,0.3,7.34472683915986,1991-02-05,15610,-7.04472683915986,-0.683835772227357
7,1991,3.7,5.10548375776643,1991-02-12,15659,-1.40548375776643,-0.194319477290981
8,1991,9.5,3.47993159498151,1991-02-19,15708,6.02006840501848,0.517576425043391
9,1991,3.3,6.71714166623005,1991-02-26,15757,-3.41714166623005,-0.256164607627623
10,1991,15.6,2.96498269964254,1991-03-05,15806,12.6350173003575,0.878983754299433
11,1991,14.9,5.83301334588629,1991-03-12,15855,9.06698665411371,0.706537128809026
12,1991,15,3.98995819615471,1991-03-19,15904,11.0100418038453,0.665632470247406
13,1991,0.7,7.80416167961892,1991-03-26,15953,-7.10416167961892,-0.538858533268434
14,1991,9.8,3.19075213621212,1991-04-02,16002,6.60924786378788,0.406481028744782
15,1991,0.4,8.16314771322538,1991-04-09,16051,-7.76314771322538,-0.606250111400701
16,1991,2.3,11.1452810009372,1991-04-16,16100,-8.84528100093722,-0.892731063486966
17,1991,0,13.4883189061129,1991-04-23,16149,-13.4883189061129,-1.2744684123914
18,1991,18.5,16.6899888773647,1991-04-30,16198,1.81001112263534,0.0151451139807767
